acl 2.2.53-3
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-3
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.4-1
licenses 20200427-1
lightdm 1:1.30.0-3
lightdm-slick-greeter 1.4.0-1
linux 5.6.13.arch1-1
linux-api-headers 5.6.11-1
linux-headers 5.6.13.arch1-1
llvm-libs 10.0.0-2
lm_sensors 3.6.0-2
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
make 4.3-3
md4c 0.4.3-1
mesa 20.0.7-2
minizip 1:1.2.11-4
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-1
mpfr 4.0.2-2
mtdev 1.1.6-1
mtools 4.0.24-1
ncurses 6.2-1
neofetch 7.0.0-1
netctl 1.23-1
netpbm 10.73.31-1
nettle 3.6-1
networkmanager 1.24.0-1
npth 1.6-2
nspr 4.25-1
nss 3.52-1
opencore-amr 0.1.5-4
openjpeg2 2.3.1-2
openresolv 3.10.0-1
openssl 1.1.1.g-1
opus 1.3.1-1
os-prober 1.77-1
p11-kit 0.23.20-5
pacman 5.2.1-5
pacman-mirrorlist 20200411-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
patch 2.7.6-8
pciutils 3.6.4-1
pcre 8.44-1
pcre2 10.35-1
perl 5.30.2-1
perl-clone 0.45-1
perl-encode-locale 1.05-5
perl-error 0.17029-1
perl-file-listing 6.04-6
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.08-2
perl-http-daemon 6.06-1
perl-http-date 6.05-2
perl-http-message 6.24-1
perl-http-negotiate 6.01-6
perl-io-html 1.001-5
perl-libwww 6.44-1
perl-lwp-mediatypes 6.02-7
perl-mailtools 2.21-2
perl-net-http 6.19-2
perl-timedate 2.33-1
perl-try-tiny 0.30-4
perl-uri 1.76-2
perl-www-robotrules 6.02-7
perl-xml-parser 2.46-1
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.6.3-4
polkit 0.116-5
popt 1.16-12
procps-ng 3.3.16-1
psmisc 23.3-2
python 3.8.3-1
python-anytree 2.8.0-1
